矣	qvq
歗	siiwh
椒	tsiiw
勞	raaw
牢	ruu
潦	raawq
老	ruuq
勞	raawh
樂	raawk
落	raak
轢	raawk
雒	raak
駱	raak
𤻲	raawk
搔	suu
臊	saaw
騷	suu
鱢	saaw
埽	suuq
燥	saawq
燥	saawh
譟	saawh
索	saak
曹	zuu
漕	zuu
皁	dzuuq
造	dzuuq
昨	zaak
酢	zaak
鑿	zaawk
糟	cuu
遭	cuu
早	tsuuq
棗	tsuuq
澡	tsaawq
繰	tsaawq
藻	tsaawq
蚤	tsuuq
竈	tsuuk
作	caak
糳	caawk
慅	tshuuq
懆	tshaawq
操	tshaawq
草	tshuuq
操	tshaawh
造	tshuuh
錯	tshaak
筲	sr⁽ˁ⁾aw
削	sr⁽ˁ⁾awh
稍	sr⁽ˁ⁾awh
數	srok
朔	srak
巢	zr⁽ˁ⁾aw
抓	cr⁽ˁ⁾u
㕚	cr⁽ˁ⁾uq
抓	cr⁽ˁ⁾uq
爪	cr⁽ˁ⁾uq
捉	cr⁽ˁ⁾ok
斮	crak
炒	tshr⁽ˁ⁾awq
燎	raw
尞	rawh
略	rak
斮	crak
宵	saw
消	saw
肖	saw
逍	saw
霄	saw
小	sewq
削	sawh
笑	lhawh
肖	sawh
削	sewk
譙	zew
噍	zewh
椒	tsew
焦	cew
剿	tsawq
爵	cewk
雀	cewk
悄	tshewq
舄	tshak
鵲	tshak
柔	nu
蹂	nu
肉	nuk
收	hiw
守	stuq
手	nhuq
首	lhuq
守	stuh
狩	stuh
獸	stuh
首	lhuh
叔	stiwk
尗	stiwk
菽	stiwk
讎	du
醻	du
魗	du
受	duq
壽	duq
售	duh
壽	duh
授	duh
倏	mliwk
孰	duk
淑	duk
熟	duk
周	tiw
州	tu
洲	tu
舟	tu
帚	tuq
箒	tuq
祝	tuh
祝	tuk
粥	tuk
鬻	tuk
醜	khluq
臭	khluh
俶	thuk
橈	ngew
蕘	ngew
襓	ngew
饒	ngew
繞	ngewq
繞	ngewh
弱	newk
若	nak
燒	nghew
少	stewq
少	stewh
䟏	lhewk
爍	lhewk
鑠	lhewk
召	dawq
紹	dawq
召	dawh
邵	dawh
勺	dewk
杓	dewk
昭	taw
沼	tawq
炤	tawh
照	tawh
詔	tawh
勺	tewk
斫	tak
繳	kewk
酌	tewk
綽	thawk
槈	nooh
耨	nooh
投	doo
歈	loo
頭	doo
竇	looh
脰	dooh
豆	dooh
櫝	look
牘	look
犢	look
獨	dook
讀	look
兜	too
斗	tooq
鬥	tooh
鬬	tooh
鬭	tooh
偷	lhoo
禿	thook
狃	nruq
紐	nruq
疇	dru
稠	driw
綢	driw
裯	driw
𠃬	dru
𢏚	dru
紂	druq
酎	druq
冑	lriwh
蓫	lriwk
軸	lriwk
逐	lriwk
輈	triw
疛	truq
肘	truq
咮	troh
晝	truh
竹	truk
築	truk
妯	lhriw
抽	lhriw
瘳	hriw
丑	nhruq
杻	nhruq
杽	nhruq
畜	hruh
滀	hruk
畜	hruk
稸	hruk
蓄	hruk
毒	duuk
纛	duuk
篤	tuuk
裻	tuuk
尿	neewk
溺	neewk
條	liiw
苕	deew
蜩	diiw
調	diiw
跳	leew
挑	leewq
窕	leewq
凋	tiiw
彫	tiiw
雕	tiiw
鳥	tiiwq
弔	teewh
釣	teewh
挑	lheew
祧	lheew
眺	lheewh
夒	nuu
猱	nuu
獶	nuu
獿	nuu
腦	nuuq
諾	naak
匋	luu
桃	laaw
綯	luu
翿	duu
逃	laaw
陶	duu
鞀	daaw
稻	luuq
道	luuq
導	luuh
悼	daawh
盜	daawh
纛	duuh
道	luuh
度	daak
鐸	laak
刀	taaw
忉	taaw
倒	taawq
島	tuuq
擣	tuuq
禱	tuuq
倒	taawh
到	taawh
慆	lhuu
滔	lhuu
饕	lhaaw
討	thuuq
橐	thaak
蘀	lhaak
託	thaak
鐃	nraaw
撓	nraawq
呶	nruu
怓	nruu
橈	nraawh
櫂	lreewh
濯	lreewh
擢	lreewk
濁	drook
濯	lreewk
啁	triiw
罩	traawh
卓	traawk
啄	trook
斲	trook
桌	traawk
朝	draw
潮	draw
兆	lrawq
旐	lrawq
趙	lrawq
召	drawh
著	drak
朝	traw
著	trak
超	thraw
躇	thrak
姆	mvq
某	mvq
母	mvq
牡	muq
畝	mvq
畮	mvq
戊	muh
茂	muh
貿	mruh
木	mook
沐	mook
霂	mook
裒	bu
部	bvq
僕	book
暴	baawk
曝	baawk
瀑	baawk
卜	pook
濮	pook
剖	phuq
仆	phooh
撲	phook
矛	mu
謀	mv
牧	mvk
目	mvk
睦	mruk
穆	mriwk
𡍬	mruk
枹	bu
浮	bu
罦	bu
蜉	bu
婦	bvq
服	bvq
負	bvq
阜	buq
伏	bvh
復	buh
伏	bvk
匐	bvk
复	buk
復	buk
服	bvk
畐	bvk
箙	bvk
輹	buk
𠬝	bvk
不	pv
否	pvq
缶	puq
富	pvh
幅	pvk
福	pvk
腹	puk
葍	pvk
複	puk
輻	pvk
孚	phu
紑	phv
仆	phooh
副	phvh
覆	phuh
覆	phuk
謬	mriwh
髟	piw
襮	paawk
飄	beew
嘌	pheew
摽	pheew
漂	pheew
旄	maaw
毛	maaw
髦	muu
冒	muuh
媢	muuh
帽	muuh
耄	maawh
芼	maawh
幕	maak
莫	maak
袍	buu
抱	buuq
暴	baawh
泊	baak
薄	baak
褒	puu
保	puuq
寶	puuq
鴇	puuq
報	puuh
博	paak
搏	paak
胉	phaak
膊	phaak
茅	mruu
貓	mraaw
卯	mruq
昴	mruq
茆	mruq
貌	mraawh
瞀	mrook
藐	mraawk
邈	mraawk
匏	bruu
炮	bruu
雹	bruuk
包	pruu
胞	pruu
苞	pruu
飽	pruuq
爆	praawh
豹	preewh
剝	prook
剥	prook
駁	praawk
摽	phreew
樸	phrook
苗	maw
廟	mawh
縛	bak
儦	paw
瀌	paw
鑣	paw
麃	paw
表	pawq
杪	mewq
渺	mewq
眇	mewq
妙	mewh
瓢	bew
薸	bew
摽	bewq
票	phew
濩	waak
穫	waak
藿	hwaak
槨	kwaak
郭	kwaak
廓	khwaak
擴	khwaak
鞹	khwaak
攫	kwak
矍	kwak
翁	qoong
瓮	qoongh
甕	qoongh
紅	ɡoong
虹	ɡoong
訌	ɡoong
鴻	ɡoong
鬨	ɡoongh
公	kloong
功	koong
工	koong
攻	koong
貢	koongh
贛	koongh
空	khoong
孔	khoongq
空	khoongq
控	khoongh
熊	wvng
雄	wvng
窮	ɡung
宮	kung
弓	kwvng
躬	kung
躳	kung
䑣	lung
彡	lung
肜	lung
融	lung
癰	qong
邕	qong
雝	qong
顒	ngong
凶	hong
訩	hong
邛	ɡong
共	ɡrongh
供	krong
恭	krong
龏	krong
龔	krong
共	krongq
巩	kongq
廾	krongq
拱	krongq
拲	krongq
鞏	kongq
𠬞	krongq
𢀜	kongq
恐	khongq
㝐	nglong
傭	long
墉	long
容	nglong
庸	long
鏞	long
頌	nglong
俑	longq
勇	longq
踊	longq
用	longh
夅	ɡruung
降	ɡruung
項	ɡroongq
巷	ɡroongh
江	kroong
講	kroongq
虹	kroongh
降	kruungh
㼜	qaangh
卬	ngaang
杭	ɡaang
行	ɡaang
頏	ɡaang
亢	kaang
剛	kaang
岡	kaang
綱	kaang
鋼	kaang
康	khlaang
抗	khaangh
央	qang
殃	qang
鴦	qang
仰	ngangq
皀	hang
膷	hang
薌	hang
鄉	hang
香	hang
亨	hangq
享	hangq
曏	hangq
鄉	hangq
響	hangq
饗	hangq
向	hangh
嚮	hangh
曏	hangh
鄉	hangh
强	ɡang
彊	ɡang
强	ɡang
姜	klang
畺	kang
疆	kang
薑	kang
羌	khlang
揚	lang
昜	lang
楊	lang
洋	nglang
痒	nglang
瘍	lang
羊	nglang
鍚	lang
陽	lang
颺	lang
痒	nglangq
癢	nglangq
養	nglangq
羕	nglangh
籠	roong
聾	roong
籠	roongq
弄	roongh
送	soongh
叢	dzoong
揔	tsoong
稯	tsoong
緫	tsoong
緵	tsoong
總	tsoong
豵	tsoong
揔	tsoongq
緫	tsoongq
總	tsoongq
聰	tshoong
蔥	tshoong
隆	rung
崇	zrung
崧	sung
嵩	sung
宋	suungh
潨	zuung
宗	cuung
綜	cuungh
龍	rong
隴	rongq
松	glong
訟	glong
訟	glongh
誦	slongh
頌	glongh
竦	songq
從	dzong
從	dzongh
從	tsong
縱	tsongh
樅	tshong
雙	srong
䆫	tshr⁽ˁ⁾ong
窗	tshr⁽ˁ⁾ong
窻	tshr⁽ˁ⁾ong
廊	raang
浪	raang
狼	raang
琅	raang
稂	raang
郎	raang
朗	raangq
喪	saang
桑	saang
顙	saangq
喪	saangh
藏	zaang
牂	caang
臧	caang
贓	caang
葬	tsaangh
倉	tshaang
凔	tshaang
蒼	tshaang
鶬	tshaang
俍	rang
梁	rang
涼	rang
粱	rang
糧	rang
良	rang
量	rang
兩	rangq
亮	rangh
諒	rangh
量	rangh
霜	srang
爽	srangq
牀	zrang
狀	zrangh
妝	crang
莊	crang
壯	crangh
創	tshrang
瘡	tshrang
創	tshrangh
庠	glang
痒	glang
祥	glang
翔	glang
詳	glang
像	glangq
橡	glangq
象	glangq
相	sang
箱	sang
纕	snang
襄	snang
想	sangq
相	sangh
戕	zang
牆	zang
匠	zangh
將	cang
漿	cang
奬	cangq
獎	cangq
將	cangh
醬	cangh
瑲	tshang
蹌	tshang
鏘	chang
戎	nung
茙	nung
潨	tung
終	tung
螽	tung
眾	tungh
衆	tungh
充	thung
憃	lhong
舂	lhong
尰	dongq
妐	tong
鍾	tong
鐘	tong
種	tongq
腫	tongq
種	tongh
罿	thong
衝	thong
攘	nang
瀼	nang
穰	nang
壤	nangq
攘	nangq
讓	nangh
傷	lhang
商	stang
愓	lhang
湯	lhang
觴	lhang
饟	nhang
曏	nhangq
賞	stangq
饟	nhangq
曏	nhangh
餉	nhangh
饟	nhangh
嘗	dang
尚	dang
常	dang
裳	dang
上	dangq
上	dangh
尚	dangh
獐	tang
璋	tang
章	tang
掌	tangq
昌	thang
惝	thangq
敞	thangq
倡	thangh
唱	thangh
僮	doong
同	loong
童	doong
筒	loong
詷	loong
銅	loong
動	doongq
慟	doongh
東	toong
凍	toongh
恫	lhoong
通	lhoong
桶	lhoongq
痛	lhoongh
沖	drung
蟲	lrung
仲	drungh
中	trung
忠	trung
中	trungh
忡	thrung
膿	noong
農	noong
彤	luung
冬	tuung
濃	nrong
重	drong
重	drongq
重	drongh
冢	trongq
寵	hrongq
幢	droong
撞	droong
撞	droongh
憃	lhroong
囊	naang
曩	naangq
唐	laang
堂	daang
塘	laang
棠	laang
糖	laang
螗	laang
餳	laang
愓	laangq
蕩	laangq
碭	laangh
蕩	laangh
當	taang
黨	taangq
當	taangh
唐	lhaang
康	lhaang
湯	lhaang
鏜	thaang
儻	thaangq
攩	thaangq
場	lrang
腸	lrang
長	drang
丈	drangq
張	trang
粻	trang
長	trangq
帳	trangh
悵	thrangh
鬯	thrangh
幪	moong
濛	moong
蒙	moong
篷	boong
芃	boong
蓬	boong
逢	boong
唪	boongq
琫	poongq
夢	mvngh
汎	bvm
馮	bvng
風	pvm
諷	pvmh
風	pvmh
豐	phung
賵	phungh
縫	bong
逢	bong
奉	bongq
縫	bongh
封	pong
覂	pongq
丰	phong
葑	phong
蜂	phong
鋒	phong
奉	phongq
厖	mroong
哤	mroong
尨	mroong
駹	mroong
龍	mroong
龐	broong
蚌	broongq
蜯	broongq
邦	proong
忙	maang
芒	maang
傍	baang
彷	baang
徬	baang
旁	baang
蒡	baang
傍	baangh
舫	paangh
謗	paangh
雱	phaang
亡	mang
忘	mang
望	mang
鋩	mang
惘	mangq
網	mangq
网	mangq
罔	mangq
妄	mangh
忘	mangh
望	mangh
坊	bang
房	bang
防	bang
魴	bang
匚	pang
方	pang
放	pangq
旊	pangq
昉	pangq
瓬	pangq
放	pangh
舫	pangh
妨	phang
芳	phang
紡	phangq
髣	phangq
訪	phangh
尪	qwaang
汪	qwaang
徨	waang
煌	waang
皇	waang
簧	waang
蝗	waang
遑	waang
隍	waang
黃	waang
巟	mhaang
荒	mhaang
衁	mhaang
詤	mhaang
慌	mhaangq
芒	mhaangq
詤	mhaangq
光	kwaang
洸	kwaang
廣	kwaangq
壙	khwaangh
曠	khwaangh
纊	khwaangh
王	wang
往	wangq
迋	wangq
王	wangh
迋	wangh
枉	qwangq
況	mhangh
貺	mhangh
狂	ɡwang
匡	khwang
筐	khwang
依	qvj
衣	qvj
偯	qvjq
衣	qvjh
沂	ngvl
螘	ngvjq
毅	ngvs
藙	ngvs
豙	ngvs
仡	ngvt
希	hvj
晞	hvj
豨	hvj
狶	hvjq
豨	hvjq
塈	hvs
愾	hvs
氣	hvs
訖	hvs
餼	hvs
旂	ɡvl
畿	ɡvj
祈	ɡvl
蘄	ɡvl
蟣	ɡvj
頎	ɡvl
幾	kvj
機	kvj
饑	kvj
幾	kvjq
既	kvs
豈	khvjq
气	khvs
氣	khvs
乞	khvt
㦤	qrih
懿	qrih
饐	qrih
乙	qrvt
劓	ngrih
塈	hrvs
祁	ɡri
耆	ɡri
鰭	ɡri
暨	ɡrvs
佶	ɡrik
肌	krvj
飢	krvj
几	krvjq
机	krvjq
冀	krvs
器	khrvs
夷	li
姨	li
寅	lvl
彝	li
桋	li
肄	lvs
佾	lvt
溢	lik
逸	lik
鎰	lik
伊	qi
吚	qi
咿	qi
一	qik
壹	qik
屎	lhi
吉	kik
弃	khih
棄	khih
詰	khik
哀	qvvj
埃	qvv
僾	qvvs
愛	qvvs
孩	ɡvv
亥	ɡvvq
劾	ɡvvh
齕	ɡvvt
海	mhvvq
該	kvv
改	klvvq
攺	klvvq
概	kvvs
溉	kvvs
開	khvvj
凱	khvvjq
塏	khvvjq
愷	khvvjq
豈	khvvjq
鎧	khvvjq
咳	khvvh
嘅	khvvs
慨	khvvs
欬	khvvh
鎧	khvvjh
謁	qat
乂	ngas
刈	ngas
艾	ngas
歇	hat
揭	ɡat
竭	ɡat
揭	kat
揠	qreet
軋	qrvvt
湝	ɡrii
骸	ɡrvv
駭	ɡrvvq
械	ɡrvvh
黠	ɡriik
偕	krii
喈	krii
皆	krii
階	krii
介	krvvs
屆	kriih
戒	krvvh
界	krvvs
疥	krvvs
芥	krvvs
誡	krvvh
戛	kriik
秸	kriik
袺	kriik
㓞	khreet
鷖	qii
曀	qiih
殪	qiih
縊	qiih
噎	qiik
倪	ngee
羿	ngeeh
詣	ngiih
槷	ngeet
闑	ngeet
齧	ngeet
兮	e
兮	aj
奚	ɡee
蹊	ɡee
騱	ɡee
系	ɡeeh
繫	ɡeeh
擷	ɡiik
襭	ɡiik
枅	kii
稽	kii
笄	kii
雞	kee
鷄	kee
𥝌	kii
係	keeh
繫	keeh
繼	keeh
計	kiih
髻	kiih
拮	kiik
潔	keet
結	kiik
袺	kiik
溪	khee
谿	khee
䭫	khiiq
启	khiiq
稽	khiiq
契	khees
契	kheet
鍥	kheet
瘞	qres
㓷	ngres
孼	ngrat
櫱	ngrat
讞	ngrat
闑	ngret
偈	ɡrat
傑	ɡrat
揭	ɡrat
桀	ɡrat
竭	ɡrat
猘	kres
罽	kras
桀	krat
愒	khras
憩	khras
揭	khras
愒	khrat
揭	khrat
朅	khrat
勩	las
泄	las
裔	las
抴	lat
埶	nges
蓺	nges
藝	nges
瘈	kes
藹	qaas
遏	qaat
閼	qaat
頞	qaat
艾	ngaas
害	ɡaas
曷	ɡaat
褐	ɡaat
丐	kaas
匃	kaas
蓋	kaas
割	kaat
匃	kaat
葛	kaat
渴	khaat
舝	ɡraat
轄	ɡraat
鎋	ɡraat
犗	kraas
棃	ri
犁	ri
犂	ri
履	riq
利	rih
慄	rik
栗	rik
師	sri
瑟	srik
蝨	srik
蟋	srik
柿	zriq
楖	crik
櫛	crik
兕	sliq
私	si
死	siq
四	lhih
肆	lhvs
駟	lhih
悉	sik
膝	sik
茨	dzi
餈	dzi
自	dzih
疾	zik
咨	tsi
粢	tsi
諮	tsi
資	tsi
齍	ci
姊	ciq
秭	ciq
恣	tsih
堲	cik
佽	tshih
次	tshih
七	tshik
桼	tshik
漆	tshik
來	rvv
萊	rvv
𧳟	rvv
賚	rvvh
塞	svvh
才	zvv
材	zvv
裁	zvv
財	zvv
在	zvvq
載	zvvh
哉	cvv
栽	cvv
災	cvv
灾	cvv
烖	cvv
𢦏	cvv
𢦒	cvv
宰	cvvq
載	cvvq
再	cvvh
載	cvvh
偲	tshvv
彩	tshvvq
採	tshvvq
采	tshvvq
菜	tshvvh
殺	sras
殺	srat
儕	zrii
豺	zrvv
齋	crii
瘵	cras
祭	cras
札	criik
差	tshraj
察	chrat
犁	rii
犂	rii
黎	rii
禮	riiq
豊	riiq
醴	riiq
鱧	riiq
戾	rvvs
荔	rees
隸	rvvs
麗	reeh
嘶	see
屖	lhii
栖	svvl
棲	svvl
犀	lhii
西	svvl
姺	svvlq
洒	svvlq
洗	svvlq
壻	siih
細	seeh
屑	lhvvt
楔	heet
懠	zii
臍	zii
薺	zii
蠐	zii
齊	zii
穧	ziiq
薺	ziiq
懠	ziih
截	zeet
䪡	cii
躋	cii
隮	cii
泲	ciiq
濟	ciiq
濟	ciih
卪	ciik
節	ciik
妻	tshii
淒	tshii
萋	tshii
泚	cheeq
妻	tshiih
切	tshiik
竊	tsheet
厲	ras
栵	ras
礪	ras
糲	ras
蠣	ras
冽	rat
列	rat
烈	rat
裂	rat
泄	lhat
絏	lhat
薛	sngat
褻	snget
辥	lhat
祭	cas
穄	cas
際	cas
瀨	raas
籟	raas
糲	raas
賴	raas
剌	raat
糲	raat
辣	raat
摋	lhaat
蔡	chaas
二	nih
貳	nih
日	nik
衵	nik
示	ɡih
實	sdik
尸	lhi
屍	lhi
蓍	hi
屎	lhiq
矢	lhiq
𦳊	lhiq
失	lhik
室	lhik
視	ɡiq
嗜	ɡih
視	ɡih
祗	ti
脂	ki
指	kiq
旨	kiq
砥	tiq
摯	tih
至	tih
鷙	tih
質	tik
鴟	thi
熱	nges
舌	mlat
世	lhas
勢	nghes
埶	nghes
貰	lhas
設	nghet
噬	das
筮	das
誓	das
逝	das
折	dat
制	kes
晢	tas
狾	kes
瘈	kes
製	kes
折	tat
晢	tat
晣	tat
尼	nri
怩	nri
秜	nri
柅	nriq
柅	nrih
膩	nrih
䵑	nrik
䵒	nrik
昵	nrik
暱	nrik
坻	dri
蚳	dri
遟	lri
遲	lri
雉	lriq
稚	lrih
稺	lrih
穉	lrih
秩	lrik
黹	triq
疐	trih
致	trih
質	trih
挃	trik
窒	trik
絺	hrvj
辴	thrvl
地	laaj
能	nvv
乃	nvvq
廼	nvvq
迺	nvvq
耐	nvvh
臺	dvv
待	dvvq
怠	lvvq
殆	lvvq
詒	lvvq
迨	lvvq
𨽿	lvvq
代	lvvh
袋	lvvh
逮	lvvs
隶	lvvs
戴	tvvh
胎	lhvv
態	nhvvh
貸	lhvvh
泥	nii
臡	naal
尼	niiq
濔	neeq
爾	neeq
禰	neeq
尼	niih
泥	niih
啼	lee
嗁	lee
提	dee
荑	lii
娣	liiq
弟	liiq
遞	leeq
折	dees
杕	lees
棣	lvvs
睇	liih
第	liih
軑	lees
鬄	leeh
垤	diik
墆	deet
瓞	liik
耋	diik
跌	liik
迭	liik
氐	tii
底	tiiq
抵	tiiq
氐	tiiq
嚏	tiih
帝	teeh
梯	lhii
睇	lhii
涕	lhiiq
體	lhiiq
剔	lheeh
揥	theeh
替	nhiih
洟	lhiih
涕	lhiih
薙	lhiih
鐵	lhiik
餮	lhiik
彘	lras
滯	dras
徹	lret
撤	lret
澈	lret
轍	lret
哲	trat
悊	trat
徹	lhret
撤	lhret
奈	naas
大	laas
汰	laas
達	laat
帶	taas
怛	taat
太	lhaas
泰	lhaas
獺	lhaat
羍	lhaat
闥	lhaat
𦍒	lhaat
蠆	hraas
獺	hraat
微	mvj
薇	mvj
亹	mvlq
尾	mvjq
味	mvs
未	mvs
勿	mvt
物	mvt
肥	bvj
腓	bvj
怫	bvs
佛	bvt
咈	bvt
怫	bvt
扉	pvj
誹	pvj
非	pvj
飛	pvj
匪	pvjq
蜚	pvjq
沸	pvs
疿	pvs
弗	pvt
紱	pvt
茀	pvt
妃	phvj
霏	phvj
騑	phvj
朏	phvjq
菲	phvjq
昲	phvs
費	phvs
刜	phvt
彿	phvt
拂	phvt
祓	phvt
艴	phvt
茀	phvt
湄	mrvj
眉	mrvj
郿	mrvj
麋	mri
美	mrvjq
媚	mrvjh
魅	mrvs
密	mrik
邳	brv
𧳏	brv
備	brvh
邲	brik
悲	prvj
鄙	prvq
毖	prih
閟	prih
柲	prik
筆	prut
丕	phrv
伾	phrv
秠	phrv
駓	phrv
轡	phrvs
寐	mih
蜜	mik
謐	mik
𥁑	mik
毗	bi
貔	bi
牝	biq
比	bih
鼻	bih
怭	bik
邲	bik
庇	pi
匕	piq
妣	piq
比	piq
秕	piq
妣	pih
庇	pih
比	pih
畀	pih
彃	pik
必	pik
珌	pik
畢	pik
篳	pik
蹕	pik
韠	pik
紕	phi
匹	phik
媒	mvv
枚	mvvj
梅	mvv
煤	mvv
鋂	mvv
每	mvvq
浼	mvvlq
妹	mvvs
昧	mvvs
痗	mvvh
歾	mvvt
歿	mvvt
殁	mvvt
沒	mvvt
𠬛	mvvt
倍	bvvq
佩	bvvh
偝	bvvh
孛	bvvs
悖	bvvs
焙	bvvh
背	bvvh
誖	bvvs
勃	bvvt
孛	bvvt
悖	bvvt
艴	bvvt
誖	bvvt
杯	pvv
背	pvvh
配	phvvjh
韈	mat
吠	bas
伐	bat
罰	bat
廢	pas
祓	pas
發	pat
髮	pat
肺	phas
埋	mrvv
薶	mrvv
霾	mrvv
𩎟	mrvvs
排	brvvj
拔	brvvt
拜	praas
八	preet
迷	mii
麑	mee
麛	mee
瀰	meeq
米	miiq
幭	meek
蔑	meet
鼙	bee
髀	beeq
苾	beek
嬖	peeh
閉	piik
媲	phiih
淠	phiih
別	brat
別	prat
袂	mes
滅	met
幣	bes
敝	bes
斃	bes
蔽	pes
鱉	pet
末	mat
沫	mat
秣	mat
拔	bas
旆	bas
茷	bas
茇	bat
軷	bat
芾	pas
貝	pas
撥	pat
筏	pat
胈	pat
茇	pat
肺	phas
邁	mraas
敗	braas
敗	praas
圍	wvj
違	wvj
韋	wvj
煒	wvjq
葦	wvjq
韡	wvjq
渭	wvs
胃	wvs
蝟	wvs
謂	wvs
威	qwvj
㷉	qwvs
尉	qwvs
慰	qwvs
畏	qwvjh
蔚	qwvs
蔚	qwvt
鬱	qwvt
巍	nguj
魏	nguj
魏	ngujh
徽	mhvj
揮	hwvl
暉	hwvl
楎	hwvl
煇	hwvl
輝	hwvl
虺	hrujq
𤈦	mhvjq
倔	ɡut
掘	ɡut
歸	kuj
鬼	kujq
貴	kus
屈	khut
帷	wri
洧	wrvq
鮪	wrvq
位	wrvs
汩	wrvt
戣	ɡwri
逵	ɡru
頄	ɡru
頯	ɡru
馗	ɡru
騤	ɡwri
㬰	ɡrus
匱	ɡrus
櫃	ɡrus
臾	ɡrus
蕢	ɡrus
餽	ɡrus
饋	ɡrus
龜	kru
簋	kruq
軌	kruq
愧	khrujh
喟	khwrvs
唯	wi
壝	luj
惟	wi
維	wi
遺	luj
唯	wiq
遺	lujh
繘	wik
聿	lut
遹	wik
侐	hwih
葵	ɡwi
揆	ɡwiq
悸	ɡwih
癸	kwiq
季	kwih
橘	kwik
繘	kwik
隈	qwvvj
嵬	nguuj
嵬	nguujq
兀	nguut
回	wvvj
槐	ɡuuj
迴	wvvj
壞	wvvjq
輠	ɡuujq
潰	ɡuus
搰	wvvt
灰	hwvv
虺	hruuj
悔	mhvvq
賄	hwvvq
晦	mhvvh
誨	mhvvh
靧	huus
忽	mhvvt
惚	mhvvt
芴	mhvvt
瑰	kuuj
汩	kwvvt
骨	kwvvt
魁	khuuj
塊	khuujh
堀	khuut
窟	khuut
戉	wat
曰	wat
粵	wat
越	wat
鉞	wat
穢	qwas
月	ngot
喙	lhos
顪	hwas
掘	ɡot
蹷	ɡwat
厥	kwat
蕨	kwat
蹶	kwat
闕	khwat
崴	qwrvvj
聵	ngruus
懷	wrvvj
槐	ɡruuj
淮	wrii
壞	wrvvjh
滑	wrvvt
猾	wrvvt
乖	kwrvvj
怪	kwrvvs
劀	kwriik
喟	khwrvvs
塊	khruujh
壞	khwrvvjh
簣	khruujh
蒯	khwrvvs
攜	wee
叀	wiih
惠	wiih
慧	wees
穴	wiik
嘒	hwees
暳	hwiih
血	hwiik
圭	kwee
決	kweet
袂	kweet
訣	kweet
譎	kwiik
睽	khwii
缺	khweet
闋	khwiik
衛	wras
衞	wras
劌	kwras
撅	kwras
蹶	kwras
蹷	kwras
鋭	los
悅	lot
悦	lot
蜕	lot
説	lot
閲	lot
烕	mhet
薈	qwaas
外	ngoos
會	waas
佸	waat
活	waat
噦	hwaas
濊	hwaas
翽	hwaas
濊	hwaat
巜	kwaas
會	kwaas
檜	kwaas
澮	kwaas
膾	kwaas
襘	kwaas
鬠	kwaas
栝	kwaat
括	kwaat
𠯑	kwaat
闊	kwaat
刖	ngroot
話	wraas
夬	kwrees
刮	kwraat
噲	khwaas
快	khwrees
纍	ruj
壘	rujq
蘲	rujq
誄	rujq
淚	rvs
率	rus
類	rus
律	rut
率	rut
衰	sruj
帥	srus
率	srus
率	srut
蟀	srut
檖	slus
穗	wih
穟	wih
遂	slus
隧	slus
𥝩	wih
綏	nhuj
雖	swi
祟	lhus
誶	sus
恤	swik
戌	mhik
訹	lhut
瘁	dzus
萃	dzus
誶	dzut
醉	tsus
卒	tsut
罍	ruuj
雷	ruuj
靁	ruuj
儽	ruujh
碎	suus
崔	dzuuj
摧	dzuuj
罪	dzuujq
䘒	tsuul
朘	tsuul
卒	tsuut
催	tshuuj
縗	tshuuj
衰	tshuuj
倅	tshuus
啐	tshuus
淬	tshuus
焠	tshuus
茁	crot
刷	srot
茁	crot
㯔	tshros
毳	tshros
彗	hwes
歲	swas
雪	lhot
絕	zot
䄟	tshos
毳	tshos
脃	tshos
脆	tshos
膬	tshot
捋	root
最	coos
撮	coot
刷	srot
嘬	tsros
緌	nuj
朮	mlut
术	mlut
秫	mlut
術	mlut
述	mlut
鉥	mlut
水	stujq
誰	duj
隹	tuj
沝	tujq
出	thus
出	thut
吶	not
呐	not
焫	not
爇	not
帨	lhos
税	lhos
説	lhos
説	lhot
拙	tot
喙	lhos
帨	lhos
啜	thot
歠	thot
椎	druj
墜	lrus
懟	drus
隊	lrus
追	truj
轛	trus
黜	hrut
餒	nuujq
內	nuus
訥	nuut
隤	luuj
頹	luuj
錞	duulq
隊	luus
突	duut
腯	luut
堆	tuuj
敦	tuul
𠂤	tuuj
對	tuus
咄	tuut
推	thuuj
焞	thuul
退	nhuus
突	thuut
叕	tros
叕	trot
惙	trot
掇	trot
綴	trot
輟	trot
兑	loos
脱	loos
奪	loot
敓	loot
脱	loot
説	loot
祋	toos
掇	toot
蜕	lhoos
駾	lhoos
捝	lhoot
脱	lhoot
錣	throot
慇	qvn
殷	qvn
隱	qvnq
隱	qvnh
圻	ngvl
垠	ngvl
昕	hvl
欣	hvl
衅	mhvlh
釁	mhvlh
勤	ɡvn
慬	ɡvn
懃	ɡvn
芹	ɡvl
近	ɡvlq
近	ɡvlh
斤	kvl
筋	kvn
堇	kvnq
蓳	kvnq
謹	kvnq
蓳	kvnh
駰	qring
誾	ngrvn
銀	ngrvn
堇	ɡrvn
矜	ɡring
僅	ɡrvnh
墐	ɡrvnh
殣	ɡrvnh
饉	ɡrvnh
巾	krvn
螼	khrvnq
螼	khrvnh
夤	lvl
寅	lvl
引	lingq
蚓	lvlq
螾	lvlq
引	lingh
朄	lingh
胤	lvlh
因	qing
垔	qing
姻	qing
禋	qing
陻	qing
印	qingh
